tweet_id,retweeted,retweet_count,favorite_count,is_quote_status,favorited
892420643555336193,False,8208,37653,False,False
892177421306343426,False,6072,32350,False,False
891815181378084864,False,4014,24372,False,False
891689557279858688,False,8367,40965,False,False
891327558926688256,False,9063,39173,False,False
891087950875897856,False,3009,19699,False,False
890971913173991426,False,1988,11520,False,False
890729181411237888,False,18236,63513,False,False
890609185150312448,False,4129,27085,False,False
890240255349198849,False,7128,31041,False,False
890006608113172480,False,7087,29860,False,False
889880896479866881,False,4815,27063,False,False
889665388333682689,False,9705,46805,False,False
889638837579907072,False,4383,26378,False,False
889531135344209921,False,2176,14716,False,False
889278841981685760,False,5199,24575,False,False
888917238123831296,False,4354,28348,False,False
888804989199671297,False,4138,24866,False,False
888554962724278272,False,3422,19297,False,False
888078434458587136,False,3369,21178,False,False
887705289381826560,False,5202,29392,False,False
887517139158093824,False,11315,45044,False,False
887473957103951883,False,17557,67088,False,False
887343217045368832,False,10080,32765,False,False
887101392804085760,False,5762,29762,False,False
886983233522544640,False,7513,34168,False,False
886736880519319552,False,3159,11718,False,False
886680336477933568,False,4318,21849,False,False
886366144734445568,False,3096,20621,False,False
886267009285017600,False,4,116,False,False
886258384151887873,False,6096,27247,False,False
886054160059072513,False,105,0,True,False
885984800019947520,False,6554,31726,False,False
885528943205470208,False,6215,35002,False,False
885518971528720385,False,3628,19892,True,False
885311592912609280,False,17942,0,False,False
885167619883638784,False,4242,21321,False,False
884925521741709313,False,17650,75244,False,False
884876753390489601,False,5437,27144,False,False
884562892145688576,False,4535,23629,False,False
884441805382717440,False,5486,26279,False,False
884247878851493888,False,19855,70954,True,False
884162670584377345,False,2886,19819,False,False
883838122936631299,False,3334,21304,False,False
883482846933004288,False,9614,44659,False,False
883360690899218434,False,3591,22077,False,False
883117836046086144,False,6452,36163,False,False
882992080364220416,False,3802,23296,False,False
882762694511734784,False,4744,27535,False,False
882627270321602560,False,5902,27177,False,False
882268110199369728,False,11229,43731,False,False
882045870035918850,False,4799,28557,False,False
881906580714921986,False,3288,23661,False,False
881666595344535552,False,10348,49251,False,False
881633300179243008,False,7,124,False,False
881536004380872706,False,15469,48113,False,False
881268444196462592,False,5026,22510,False,False
880935762899988482,False,2701,16603,False,False
880872448815771648,False,3711,20702,False,False
880465832366813184,False,6086,27776,False,False
880221127280381952,False,4090,26310,False,False
880095782870896641,False,4207,26894,False,False
879862464715927552,False,3391,21756,False,False
879674319642796034,False,10,302,False,False
879492040517615616,False,3083,22820,False,False
879415818425184262,False,42972,103039,False,False
879376492567855104,False,3019,16372,False,False
879130579576475649,False,6606,0,False,False
879050749262655488,False,4561,21950,False,False
879008229531029506,False,2613,18495,False,False
878776093423087618,False,4003,18912,False,False
878604707211726852,False,6983,29430,True,False
878404777348136964,False,1249,0,False,False
878316110768087041,False,6449,0,False,False
